date (YYYY-MM-DD),fly_time,fly_cost,fuel consumption litres,fuel consumption cost kDKK,day cost per all people,last activity
2021-08-07,2.3,50.4,922,9.4,15.0,transit from Iceland with some cargo
2021-08-08,3.6,79.2,2363,24.0,15.0,EGP new AWS install. Twin Otter overnights
2021-08-09,2.0,43.7,0,0.0,15.0,wx delay day
2021-08-10,1.4,30.8,846,8.6,15.0,return to EGP for overnight 2
2021-08-11,2.6,57.8,1742,17.7,15.0,return to coast. Upernavik
2021-08-12,3.8,82.2,1505,15.3,15.0,return toward Iceland via Nuuk
2021-08-13,6.1,133.0,2435,24.7,15.0,return toward Iceland
total,21.799999999999997,477.1,9813,99.7,105.0,
grand total (MDKK),0.6818000000000001,,,,,
grand total incl. quarantine (MDKK),0.7568,,,,,
