date (YYYY-MM-DD),day,day in a row count,start time (first of day),from,to,freight (kg),N PAX,distance (nm),fly+taxi+circle time (h),fuel consumption litres,fuel consumption cost kDKK,fuel_remaining(liters),arrival time (local time),stoppage time (h),from lat,from lon,destination lat,destination lon,start location name,landing location name,air speed kt,description of work
2021-08-19,Thursday,1,8.5,AEY,SFJ,0,0,785,6.0,2242,23,-842,14.5,end of flying,65.6547,-18.0757,67.0106,-50.7110,Akureyri,Kangerlussuaq,140,transit to W Greenland.
,,,,,,,,total fly time no taxi or circling,5.6
2021-08-20,Friday,2,8.5,SFJ,THU,0,0,660,5.1,6370,65,-2728,37.6,end of flying,67.0106,-50.7110,76.5333,-68.6999,Kangerlussuaq,Thule Air Base,140,transit to Thule
2021-08-20,Friday,2,8.5,THU,QAN,450,3,58,0.8,10664,108,-2894,56.4,end of flying,76.5333,-68.6999,77.4855,-69.3750,Thule Air Base,Qaanaaq,140,pick people and cargo. move people and cargo to QAN airport
,,,,,,,,total fly time no taxi or circling,10.7
2021-08-21,Saturday,3,8.25,QAN,PET,300,3,205,1.9,585,6,815,10.1,0.7,77.4855,-69.3750,80.0971,-58.1384,Qaanaaq,Petermann ELA,140,new AWS install at Petermann ELA
2021-08-21,Saturday,3,8.25,PET,QAN,250,3,205,1.9,1754,18,231,12.7,end of flying,80.0971,-58.1384,77.4855,-69.3750,Petermann ELA,Qaanaaq,140,return to QAN to overnight
,,,,,,,,total fly time no taxi or circling,2.9
2021-08-22,Sunday,4,8.0,QAN,NEM,250,3,241,2.1,687,7,713,10.1,4.0,77.4855,-69.3750,77.5022,-50.8744,Qaanaaq,NEEM,140,long day. new AWS install at Neem and visit Humboldt after NEEM landing and ground stop. no crane?
2021-08-22,Sunday,4,8.0,NEM,HUM,150,3,97,1.1,1651,17,436,15.2,2.0,77.5022,-50.8744,78.5266,-56.8305,NEEM,Humboldt,140,new AWS install at Neem. recover some Neem kit? 4.5 h ground stop. after this and visit Humboldt after NEEM landing and 
2021-08-22,Sunday,4,8.0,HUM,QAN,100,3,169,1.6,3097,31,-46,18.8,end of flying,78.5266,-56.8305,77.4855,-69.3750,Humboldt,Qaanaaq,140,return to QAAN to overnight
,,,,,,,,total fly time no taxi or circling,3.6
2021-08-23,Monday,5,8.25,QAN,CEN,250,3,113,1.2,321,3,1079,9.5,5,77.4855,-69.3750,77.1300,-61.0300,Qaanaaq,CEN,140,service 1 existing AWS. 3 other towers. no crane?
2021-08-23,Monday,5,8.25,CEN,QAN,200,3,113,1.2,964,10,757,15.7,end of flying,77.1300,-61.0300,77.4855,-69.3750,CEN,Qaanaaq,140,return to QAN to overnight
,,,,,,,,total fly time no taxi or circling,1.6
2021-08-24,Tuesday,6,8.25,QAN,THU,300,3,58,0.8,166,2,1234,9.1,1,77.4855,-69.3750,76.5333,-68.6999,Qaanaaq,Thule Air Base,140,return PAX to THU then return plane to soutward
2021-08-24,Tuesday,6,8.25,THU,SFJ,250,0,660,5.1,2218,22,-652,15.2,end of flying,76.5333,-68.6999,67.0106,-50.7110,Thule Air Base,Kangerlussuaq,140,return to YRB with no PAX
,,,,,,,,total fly time no taxi or circling,5.1
2021-08-25,Wednesday,7,8.25,SFJ,AEY,0,0,785,6.0,6513,66,-2894,39.2,end of flying,67.0106,-50.7110,65.6547,-18.0757,Kangerlussuaq,Akureyri,140,to Icelamd
,,,,,,,,total fly time no taxi or circling,10.7
