date (YYYY-MM-DD),day,day in a row count,start time (first of day),from,to,freight (kg),N PAX,distance (nm),fly+taxi+circle time (h),fuel consumption litres,fuel consumption cost kDKK,fuel_capacity,arrival time (local time),stoppage time (h),from lat,from lon,destination lat,destination lon,start location name,landing location name,air speed kt,description of work
2021-06-16,Wednesday,1,8.5,AEY,KUS,0,0,473,3.8,1350,14,50,12.3,1,65.6547,-18.0757,65.5745,-37.1349,Akureyri,Kulusuk,140,transit to Greenland. bring any cargo from Iceland?
2021-06-16,Wednesday,1,8.5,KUS,GOH,0,0,380,3.1,3787,38,-1036,16.4,end of flying,65.5745,-37.1349,64.1917,-51.6742,Kulusuk,Nuuk,140,transit to Greenland. bring any cargo from Iceland?
,,,,,,,,total fly time no taxi or circling,6.1
2021-06-17,Thursday,2 weather delay,,,,,,,,,,,,,,,,,organize AWS
2021-06-18,Friday,3,8.25,GOH,SFJ,750,3,171,1.6,490,5,910,9.9,1,64.1917,-51.6742,67.0106,-50.7110,Nuuk,Kangerlussuaq,140,transit to SFJ with 4 x AWS. leave 3 in SFJ at refueling
2021-06-18,Friday,3,8.25,SFJ,DY2,250,3,110,1.2,1294,13,595,12.1,4.5,67.0106,-50.7110,66.4800,-46.2789,Kangerlussuaq,DYE-II,140,first AWS maintenance. new AWS installation at DY2
2021-06-18,Friday,3,8.25,DY2,SFJ,200,3,110,1.2,2414,24,281,17.7,end of flying,66.4800,-46.2789,67.0106,-50.7110,DYE-II,Kangerlussuaq,140,return to SFJ to overnight
,,,,,,,,total fly time no taxi or circling,2.8
2021-06-19,Saturday,4,8.5,SFJ,SDL,250,3,161,1.6,460,5,940,10.1,0.7,67.0106,-50.7110,65.9995,-44.5002,Kangerlussuaq,Saddle,140,AWS maintenance using crane at SDL
2021-06-19,Saturday,4,8.5,SDL,DY2,200,3,52,0.8,1069,11,791,11.5,4.5,65.9995,-44.5002,66.4800,-46.2789,Saddle,DYE-II,140,refuel at Raven/DYE-2 on return
2021-06-19,Saturday,4,8.5,DY2,SFJ,200,3,110,1.2,1993,20,476,17.2,end of flying,66.4800,-46.2789,67.0106,-50.7110,DYE-II,Kangerlussuaq,140,return to SFJ to overnight
,,,,,,,,total fly time no taxi or circling,2.3
2021-06-20,Sunday,5,8.5,SFJ,CP1,130,3,191,1.8,547,6,853,10.3,4.5,67.0106,-50.7110,69.8798,-46.9867,Kangerlussuaq,Crawford Point,140,new AWS install at CP1. bring back whatever we can
2021-06-20,Sunday,5,8.5,CP1,JAV,130,3,94,1.1,1363,14,584,15.8,end of flying,69.8798,-46.9867,69.2405,-51.0664,Crawford Point,Ilulissat,140,return to JAV to overnight
,,,,,,,,total fly time no taxi or circling,2.0
2021-06-21,Monday,6 weather delay,,,,,,,,,,,,,,,,,relax
2021-06-22,Tuesday,7,8.0,JAV,DY2,250,3,199,1.8,567,6,833,9.8,0.6,69.2405,-51.0664,66.4800,-46.2789,Ilulissat,DYE-II,140,long day. refuel at Raven/DYE-2. proceed to SDM
2021-06-22,Tuesday,7,8.0,DY2,SDM,100,3,204,1.9,1717,17,250,12.3,4.5,66.4800,-46.2789,63.1489,-44.8172,DYE-II,South Dome,140,to SDM. 2950 m ASL
2021-06-22,Tuesday,7,8.0,SDM,UAK,100,3,121,1.3,3213,33,-95,18.0,end of flying,63.1489,-44.8172,61.1614,-45.4178,South Dome,Narsarsuaq,140,to UAK to overnight
,,,,,,,,total fly time no taxi or circling,3.7
2021-06-23,Wednesday,8,8.0,UAK,GOH,250,3,251,2.2,718,7,682,10.2,0.6,61.1614,-45.4178,64.1917,-51.6742,Narsarsuaq,Nuuk,140,transit
,,,,,,,,total fly time no taxi or circling,1.8
2021-06-24,Thursday,9,8.0,GOH,NSE,250,3,268,2.3,767,8,633,10.3,4.5,64.1917,-51.6742,66.4797,-42.5002,Nuuk,NASA-SE,140,new AWS install at NSE
2021-06-24,Thursday,9,8.0,NSE,KUS,100,3,142,1.4,1940,20,227,16.2,end of flying,66.4797,-42.5002,65.5745,-37.1349,NASA-SE,Kulusuk,140,transit to KUS
,,,,,,,,total fly time no taxi or circling,2.9
2021-06-25,Friday,10,8.0,KUS,AEY,100,3,473,3.8,1350,14,50,11.8,4.5,65.5745,-37.1349,65.6547,-18.0757,Kulusuk,Akureyri,140,transit to AEY
,,,,,,,,total fly time no taxi or circling,3.4
