,id,name,lat,lon
0,KPC_L,KPC_L,79.9081,-24.0799
1,KPC_U,KPC_U,79.8326,-25.1632
2,SCO_L,SCO_L,72.2225,-26.8181
3,SCO_U,SCO_U,72.3942,-27.2593
4,MIT,MIT,65.6894,-37.825
5,TAS_L,TAS_L,65.6401,-38.8986
6,TAS_U,TAS_U,65.6996,-38.8664
7,TAS_A,TAS_A,65.7783,-38.8984
8,QAS_L,QAS_L,61.0307,-46.8491
9,QAS_M,QAS_M,61.0995,-46.8332
10,QAS_U,QAS_U,61.1748,-46.82
11,NUK_L,NUK_L,64.4821,-49.5376
12,NUK_U,NUK_U,64.5104,-49.271
13,NUK_N,NUK_N,64.9455,-49.8843
14,NUK_K,NUK_K,64.1606,-51.3551
15,KAN_B,KAN_B,67.1251,-50.1832
16,KAN_L,KAN_L,67.0952,-49.9535
17,KAN_M,KAN_M,67.067,-48.8378
18,KAN_U,KAN_U,67.0004,-47.0273
19,UPE_L,UPE_L,72.8933,-54.2952
20,UPE_U,UPE_U,72.8871,-53.5846
21,THU_L,THU_L,76.3996,-68.2662
22,THU_U,THU_U,76.4198,-68.146
23,EGP,EGP,75.6248,-35.9729
24,CEN,CEN,77.13,-61.03
25,THU_U2,THU_U2,76.3877307,-68.1112137
26,SWC,Swiss Camp,69.56833,-49.31582
27,CP1,Crawford Point,69.87975,-46.986670000000004
28,NAU,NASA-U,73.84189,-49.49831
29,GIT,GITS,77.13781,-61.04113
30,HUM,Humboldt,78.5266,-56.8305
31,SUM,Summit,72.57972,-38.504540000000006
32,TUN,Tunu-N,78.01677,-33.99387
33,DY2,DYE-II,66.48001,-46.278890000000004
34,JAR,JAR,69.498358,-49.68156
35,SDL,Saddle,65.99947,-44.50016
36,SDM,South Dome,63.14889,-44.817170000000004
37,NAE,NASA-E,75.0,-29.99972
38,NSE,NASA-SE,66.4797,-42.5002
39,PET,Petermann ELA,80.097083,-58.138360999999996
40,NEM,NEEM,77.5022,-50.8744
41,EGPGCN,EastGRIP,75.6267,-35.9914
42,JNS, Narsaq,60.91666800000001,-46.058613
43,JAV,Ilulissat,69.24054659999999,-51.06637929999999
44,SFJ,Kangerlussuaq,67.01060030000001,-50.7109637
45,KUS,Kulusuk,65.57451400000001,-37.1349041
46,GOH,Nuuk,64.19170249999999,-51.674193
47,UAK,Narsarsuaq,61.1614002,-45.4178059
48,CNP,Nerlerit Inaat,70.74147740000001,-22.648820100000002
49,MES,Mestersvig,72.23658680000001,-23.93350125
50,DAN,Danmarkshavn,62.88759999999999,-45.9472
51,NOR,Nord,81.65709975,-17.229909050000003
52,THU,Thule Air Base,76.53330760000001,-68.6999101
53,JJU,Upernavik,72.78999999999998,-56.13055
54,YRB,Resolute Bay,74.71840999999998,-94.98421009999998
55,IKA,Iqaluit,63.75525379999999,-68.5506214
56,AEY,Akureyri,65.6546699,-18.075687300000002
57,QAN,Qaanaaq,77.48546569999998,-69.37501619999999
58,ZAC,Zackenberg Ecological Research Operations,74.4862059,-20.67799305
